location,rate,votes,success_score,score
Koramangala,3.8499999999999996,419.5,2.03269960232487,1.782982111766438
West Bangalore,3.3,535.0,1.7598195166717652,1.6078556133374122
Koramangala 4th Block,3.5625,221.16666666666666,1.891559345365555,1.5959266040183009
Residency Road,3.65,242.5,1.8794509024166413,1.5942149275407898
St. Marks Road,3.675,99.75,1.939330835117773,1.5887543877203865
Jeevan Bhima Nagar,3.5749999999999997,211.0,1.8860156011012543,1.5876909855539008
Mysore Road,3.8,77.5,1.9264224533496481,1.570109925296541
Infantry Road,3.75,55.0,1.926009483022331,1.5613683340814164
Malleshwaram,3.5913043478260867,196.0,1.8598474304068524,1.561148972362865
Vijay Nagar,3.6538461538461537,117.33333333333333,1.8921535637809728,1.5575857793736878
